City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
337,westport,41.1415,-73.3579,11.63,77,75,4.12,US
338,anchorage,61.2181,-149.9003,3.81,92,100,2.24,US
339,huarmey,-10.0681,-78.1522,23.67,84,82,5.09,PE
340,oltinko'l,40.8011,72.1634,18.02,27,15,2.8,UZ
341,kerikeri,-35.2268,173.9474,19.39,96,100,0.89,NZ
342,vanimo,-2.6741,141.3028,30.39,66,85,1.67,PG
343,zouerate,22.7187,-12.4521,27.28,25,100,6.21,MR
344,medenine,33.355,10.5055,18.12,54,6,3.2,TN
345,bouca,6.5105,18.2733,20.34,95,100,1.67,CF
346,mersa matruh,31.3525,27.2453,19.56,58,92,6.23,EG
347,brisas de zicatela,15.8369,-97.0419,29.29,65,0,1.54,MX
348,okahao,-17.885,15.0667,21.43,34,4,2.27,NA
349,mahina,-17.5065,-149.489,30.42,66,75,5.14,PF
350,champerico,14.3,-91.9167,29.36,75,68,3.49,GT
351,basse santa su,13.31,-14.2137,31.95,35,97,2.97,GM
352,kiffa,16.6166,-11.4045,32.46,9,0,3.4,MR
353,oodweyne,9.4092,45.064,23.33,74,100,1.49,SO
354,coquimbo,-29.9533,-71.3436,13.85,82,75,1.54,CL
355,dara,15.3484,-15.4799,23.98,58,33,4.0,SN
356,yeed,4.55,43.0333,25.62,73,100,4.87,SO
357,greymouth,-42.4667,171.2,18.76,74,5,1.4,NZ
358,sabang,5.8933,95.3214,28.51,74,100,2.16,ID
359,sungai penuh,-2.0833,101.3833,22.96,85,97,0.48,ID
360,mount pleasant,32.7941,-79.8626,19.44,44,0,1.54,US
361,bosobolo,4.1833,19.9,19.9,98,98,0.86,CD
362,ouled mimoun,34.9047,-1.0339,13.01,53,99,1.46,DZ
363,arvin,35.2091,-118.8284,18.07,55,100,2.11,US
364,placido de castro,-10.3353,-67.1856,23.11,96,91,0.26,BR
365,soe,-9.8607,124.284,22.95,80,79,2.82,ID
366,box elder,41.5005,-112.8764,18.55,35,86,3.08,US
367,kirensk,57.7853,108.1119,5.77,67,94,0.45,RU
368,cozumel,20.5083,-86.9458,28.3,86,0,3.13,MX
369,jiuquan,39.7432,98.5174,11.57,22,59,3.59,CN
370,bonthe,7.5264,-12.505,25.03,86,100,1.24,SL
371,pavlovsk,50.4578,40.1081,9.52,83,35,1.5,RU
372,embi,48.8264,58.1442,11.48,26,100,7.89,KZ
373,san francisco ixhuatan,16.3569,-94.4825,28.95,71,19,1.89,MX
374,sinabang,2.4803,96.3801,28.28,74,95,0.41,ID
375,al jawf,29.5,38.75,21.5,21,0,7.99,SA
376,margate,51.3813,1.3862,11.61,81,100,1.79,GB
377,kelibia,36.8476,11.0939,16.14,94,20,3.09,TN
378,kentville,45.0835,-64.4988,4.11,93,100,2.57,CA
379,celestun,20.8667,-90.4,26.72,78,0,7.64,MX
380,ilheus,-14.7889,-39.0494,23.9,100,20,2.06,BR
381,penal,10.1667,-61.4667,25.96,80,3,4.27,TT
382,ternate,0.8,127.4,29.25,75,20,2.16,ID
383,basi,26.8333,76.0333,22.19,65,82,1.95,IN
384,barcelos,41.5388,-8.6151,17.14,95,11,1.96,PT
385,kenora,49.8167,-94.4337,18.54,25,40,4.63,CA
386,mazagao,-0.115,-51.2894,25.03,97,100,1.53,BR
387,lecheng,25.1238,113.3254,26.31,82,83,2.85,CN
388,lamu,-2.2717,40.902,27.12,83,0,6.17,KE
389,acarau,-2.8856,-40.12,25.7,86,52,4.42,BR
390,tamanrasset,22.785,5.5228,21.95,10,0,2.06,DZ
391,lodja,-3.4833,23.4333,19.64,99,98,0.51,CD
392,villa gesell,-37.2639,-56.973,11.14,81,0,4.56,AR
393,vila franca do campo,37.7167,-25.4333,16.23,85,76,5.6,PT
394,yelovo,57.0538,54.9207,11.91,84,96,1.96,RU
395,cartagena,10.3997,-75.5144,28.79,79,40,3.6,CO
396,guerrero negro,27.9769,-114.0611,15.2,65,30,7.48,MX
397,la passe,45.5549,-0.8967,18.13,70,100,4.63,FR
398,alma,48.5501,-71.6491,5.56,87,100,2.98,CA
399,carbonear,47.7332,-53.2148,4.12,95,100,6.09,CA
400,dzuunmod,48.2199,97.3744,-2.44,52,100,1.72,MN
401,tlaltenango de sanchez roman,21.7833,-103.3167,22.74,14,100,2.49,MX
402,mugia,43.1041,-9.2179,16.62,91,4,7.94,ES
403,nakskov,54.8373,11.1284,2.84,82,12,4.1,DK
404,richmond,37.5538,-77.4603,11.21,69,75,2.57,US
405,queenstown,-31.8976,26.8753,8.44,76,2,1.29,ZA
406,dzhalagash,45.0833,64.6667,9.78,24,25,9.85,KZ
407,sao vicente,-23.9631,-46.3919,25.15,26,2,1.12,BR
408,port-vila,-17.7338,168.3219,30.78,58,40,5.14,VU
409,clearwater,27.9659,-82.8001,23.29,59,0,3.13,US
410,saint-philippe,-21.3585,55.7679,20.77,83,71,4.26,RE
411,podporozh'ye,60.9112,34.1706,0.0,93,40,2.35,RU
412,nar'yan-mar,67.6713,53.087,0.28,96,100,4.55,RU
413,natal,-5.795,-35.2094,27.12,78,20,3.09,BR
414,aksu,41.1231,80.2644,10.57,27,100,2.3,CN
415,yeniseysk,58.4497,92.1703,6.19,67,100,2.36,RU
416,bamboo flat,11.7,92.7167,30.21,68,79,1.45,IN
417,padang,-0.9492,100.3543,28.03,86,100,0.66,ID
418,hotan,37.0997,79.9269,15.45,11,0,4.65,CN
419,bengkulu,-3.8004,102.2655,28.36,72,100,0.25,ID
